learnable	normalized	partOfSpeech	source
ambasciatore	ambasciatore	noun	Duolingo
ambiente	ambiente	noun	Duolingo
ambulanza	ambulanza	noun	Duolingo
america	america	proper noun	Duolingo
americana	americana	adjective	Duolingo
americana	americana	noun	Duolingo
americane	americane	adjective	Duolingo
americani	americani	adjective	Duolingo
americano	americano	adjective	Duolingo
ami	ami	verb	Duolingo
amica	amica	noun	Duolingo
amiche	amiche	noun	Duolingo
amichevole	amichevole	adjective	Duolingo
amichevoli	amichevoli	adjective	Duolingo
amici	amici	noun	Duolingo
amicizia	amicizia	noun	Duolingo
amico	amico	noun	Duolingo
amministrazione	amministrazione	noun	Duolingo
amo	amo	verb	Duolingo
amore	amore	noun	Duolingo
anatra	anatra	noun	Duolingo
anch'io	anch'io		Duolingo
anche	anche	adverb	Duolingo
ancora	ancora	adverb	Duolingo
andai	andai	verb	Duolingo
andammo	andammo	verb	Duolingo
andando	andando	verb	Duolingo
andarci	andarci	pronoun	Duolingo
andare	andare	verb	Duolingo
andarono	andarono	verb	Duolingo
andarsene	andarsene	pronoun	Duolingo
andasse	andasse	verb	Duolingo
andassi	andassi	verb	Duolingo
andate	andate	verb	Duolingo
andava	andava	verb	Duolingo
andavamo	andavamo	verb	Duolingo
andiamo	andiamo		Duolingo
andiamo	andiamo	verb	Duolingo
andrai	andrai	verb	Duolingo
andrebbe	andrebbe	verb	Duolingo
andrebbero	andrebbero	verb	Duolingo
andremo	andremo	verb	Duolingo
andresti	andresti	verb	Duolingo
andrò	andro	verb	Duolingo
angeli	angeli	noun	Duolingo
angelo	angelo	noun	Duolingo
angoli	angoli	noun	Duolingo
angolo	angolo	noun	Duolingo
anima	anima	noun	Duolingo
animale	animale	noun	Duolingo
animali	animali	noun	Duolingo
anni	anni	noun	Duolingo
anno	anno	noun	Duolingo
annoiata	annoiata	adjective	Duolingo
annoiato	annoiato	adjective	Duolingo
antica	antica	adjective	Duolingo
antichi	antichi	adjective	Duolingo
antico	antico	adjective	Duolingo
antipasti	antipasti	noun	Duolingo
anzi	anzi	adverb	Duolingo
ape	ape	noun	Duolingo
aperitivi	aperitivi	noun	Duolingo
aperitivo	aperitivo	noun	Duolingo
aperta	aperta	adjective	Duolingo
aperti	aperti	adjective	Duolingo
api	api	noun	Duolingo
appartamenti	appartamenti	noun	Duolingo
appartamento	appartamento	noun	Duolingo
appartenere	appartenere	verb	Duolingo
appena	appena	adverb	Duolingo
appena	appena	conjunction	Duolingo
appetito	appetito	noun	Duolingo
appuntamenti	appuntamenti	noun	Duolingo
appuntamento	appuntamento	noun	Duolingo
appunto	appunto	adverb	Duolingo
apra	apra	verb	Duolingo
aprendo	aprendo	verb	Duolingo
apri	apri	verb	Duolingo
aprii	aprii	verb	Duolingo
aprile	aprile	noun	Duolingo
aprirà	aprira	verb	Duolingo
aprirai	aprirai	verb	Duolingo
aprire	aprire	verb	Duolingo
aprirebbe	aprirebbe	verb	Duolingo
aprirei	aprirei	verb	Duolingo
apriremo	apriremo	verb	Duolingo
aprireste	aprireste	verb	Duolingo
aprirono	aprirono	verb	Duolingo
aprisse	aprisse	verb	Duolingo
aprissi	aprissi	verb	Duolingo
aprite	aprite	verb	Duolingo
apriva	apriva	verb	Duolingo
aprivano	aprivano	verb	Duolingo
aprivo	aprivo	verb	Duolingo
apro	apro	verb	Duolingo
aprono	aprono	verb	Duolingo
arance	arance	noun	Duolingo
arancia	arancia	noun	Duolingo
aranciata	aranciata	noun	Duolingo
arancione	arancione	adjective	Duolingo
arancioni	arancioni	adjective	Duolingo
arbitri	arbitri	noun	Duolingo
arbitro	arbitro	noun	Duolingo
architetto	architetto	noun	Duolingo
architettura	architettura	noun	Duolingo
argentina	argentina	adjective	Duolingo
argentini	argentini	adjective	Duolingo
argentino	argentino	adjective	Duolingo
argento	argento	noun	Duolingo
argomenti	argomenti	noun	Duolingo
argomento	argomento	noun	Duolingo
aria	aria	noun	Duolingo
arma	arma	noun	Duolingo
armi	armi	noun	Duolingo
arrabbiata	arrabbiata	adjective	Duolingo
arrabbiati	arrabbiati	adjective	Duolingo
arrabbiato	arrabbiato	adjective	Duolingo
arresto	arresto	noun	Duolingo
arriva	arriva	verb	Duolingo
arrivai	arrivai	verb	Duolingo
arrivando	arrivando	verb	Duolingo
arrivano	arrivano	verb	Duolingo
arrivare	arrivare	verb	Duolingo
arrivarono	arrivarono	verb	Duolingo
arrivasse	arrivasse	verb	Duolingo
arrivassi	arrivassi	verb	Duolingo
arrivate	arrivate	verb	Duolingo
arrivava	arrivava	verb	Duolingo
arrivederci	arrivederci	interjection	Duolingo
arriverà	arrivera	verb	Duolingo
arriverai	arriverai	verb	Duolingo
arriveranno	arriveranno	verb	Duolingo
arriverebbe	arriverebbe	verb	Duolingo
arriverei	arriverei	verb	Duolingo
arriveremo	arriveremo	verb	Duolingo
arriveresti	arriveresti	verb	Duolingo
arrivi	arrivi	noun	Duolingo
arrivi	arrivi	verb	Duolingo
arriviamo	arriviamo	verb	Duolingo
arrivino	arrivino	verb	Duolingo
arrivo	arrivo	noun	Duolingo
arrivò	arrivo	verb	Duolingo
arrostiamo	arrostiamo	verb	Duolingo
arrostisci	arrostisci	verb	Duolingo
arrostisco	arrostisco	verb	Duolingo
arte	arte	noun	Duolingo
articoli	articoli	noun	Duolingo
articolo	articolo	noun	Duolingo
artista	artista	noun	Duolingo
artisti	artisti	noun	Duolingo
ascensore	ascensore	noun	Duolingo
ascensori	ascensori	noun	Duolingo
asciuga	asciuga	verb	Duolingo
asciugamani	asciugamani	noun	Duolingo
asciugo	asciugo	verb	Duolingo
ascolta	ascolta	verb	Duolingo
ascoltano	ascoltano	verb	Duolingo
ascoltare	ascoltare	verb	Duolingo
ascoltiamo	ascoltiamo	verb	Duolingo
asia	asia	proper noun	Duolingo
asini	asini	noun	Duolingo
asino	asino	noun	Duolingo
aspetta	aspetta	verb	Duolingo
aspettai	aspettai	verb	Duolingo
aspettando	aspettando	verb	Duolingo
aspettare	aspettare	verb	Duolingo
aspettarono	aspettarono	verb	Duolingo
aspettasse	aspettasse	verb	Duolingo
aspettassero	aspettassero	verb	Duolingo
aspettassi	aspettassi	verb	Duolingo
aspettassimo	aspettassimo	verb	Duolingo
aspettate	aspettate	verb	Duolingo
aspettava	aspettava	verb	Duolingo
aspettavo	aspettavo	verb	Duolingo
aspetterà	aspettera	verb	Duolingo
aspetterai	aspetterai	verb	Duolingo
aspetteranno	aspetteranno	verb	Duolingo
aspetterei	aspetterei	verb	Duolingo
aspetteremo	aspetteremo	verb	Duolingo
aspettereste	aspettereste	verb	Duolingo
aspetterò	aspettero	verb	Duolingo
aspetti	aspetti	verb	Duolingo
aspettiamo	aspettiamo	verb	Duolingo
aspettino	aspettino	verb	Duolingo
aspetto	aspetto	noun	Duolingo
aspetto	aspetto	verb	Duolingo
assicurazione	assicurazione	noun	Duolingo
associazione	associazione	noun	Duolingo
assolutamente	assolutamente	adverb	Duolingo
atleta	atleta	noun	Duolingo
atleti	atleti	noun	Duolingo
atmosfera	atmosfera	noun	Duolingo
attacchi	attacchi	noun	Duolingo
attenta	attenta	adjective	Duolingo
attente	attente	adjective	Duolingo
attenti	attenti	adjective	Duolingo
attento	attento	adjective	Duolingo
attività	attivita	noun	Duolingo
attore	attore	noun	Duolingo
attori	attori	noun	Duolingo
attorno	attorno	adverb	Duolingo
attraversa	attraversa	verb	Duolingo
attraversano	attraversano	verb	Duolingo
attraversare	attraversare	verb	Duolingo
attraversi	attraversi	verb	Duolingo
attraverso	attraverso	adverb	Duolingo
attraverso	attraverso	verb	Duolingo
aula	aula	noun	Duolingo
australiana	australiana	adjective	Duolingo
australiano	australiano	adjective	Duolingo
austriaca	austriaca	adjective	Duolingo
austriaci	austriaci	adjective	Duolingo
austriaco	austriaco	adjective	Duolingo
auto	auto	noun	Duolingo
autobus	autobus	noun	Duolingo
automobile	automobile	noun	Duolingo
automobili	automobili	noun	Duolingo
autorità	autorita	noun	Duolingo
autunno	autunno	noun	Duolingo
avanti	avanti	adverb	Duolingo
avanzata	avanzata	adjective	Duolingo
avanzato	avanzato	adjective	Duolingo
avemmo	avemmo	verb	Duolingo
avendo	avendo	verb	Duolingo
aver	aver	verb	Duolingo
avere	avere	verb	Duolingo
avesse	avesse	verb	Duolingo
avessi	avessi	verb	Duolingo
avete	avete	verb	Duolingo
aveva	aveva	verb	Duolingo
avevamo	avevamo	verb	Duolingo
avevano	avevano	verb	Duolingo
avevate	avevate	verb	Duolingo
avevi	avevi	verb	Duolingo
avevo	avevo	verb	Duolingo
avrà	avra	verb	Duolingo
avrai	avrai	verb	Duolingo
avrebbe	avrebbe	verb	Duolingo
avremo	avremo	verb	Duolingo
avrò	avro	verb	Duolingo
avventura	avventura	noun	Duolingo
avventure	avventure	noun	Duolingo
avvocati	avvocati	noun	Duolingo
avvocato	avvocato	noun	Duolingo
azione	azione	noun	Duolingo
azzurra	azzurra	adjective	Duolingo
azzurre	azzurre	adjective	Duolingo
azzurri	azzurri	noun	Duolingo
azzurro	azzurro	noun	Duolingo
baci	baci	noun	Duolingo
bacia	bacia	verb	Duolingo
baciando	baciando	verb	Duolingo
baciano	baciano	verb	Duolingo
bacio	bacio	noun	Duolingo
bagnate	bagnate	adjective	Duolingo
bagnati	bagnati	adjective	Duolingo
bagnato	bagnato	adjective	Duolingo
bagno	bagno	noun	Duolingo
balcone	balcone	noun	Duolingo
balconi	balconi	noun	Duolingo
balena	balena	noun	Duolingo
ballando	ballando	verb	Duolingo
ballare	ballare	verb	Duolingo
balli	balli	noun	Duolingo
balliamo	balliamo	verb	Duolingo
ballo	ballo	noun	Duolingo
bambina	bambina	noun	Duolingo
bambine	bambine	noun	Duolingo
bambini	bambini	noun	Duolingo
bambino	bambino	noun	Duolingo
banana	banana	noun	Duolingo
banane	banane	noun	Duolingo
banca	banca	noun	Duolingo
bandiera	bandiera	noun	Duolingo
bar	bar	noun	Duolingo
barba	barba	noun	Duolingo
barca	barca	noun	Duolingo
bari	bari	proper noun	Duolingo
bassa	bassa	adjective	Duolingo
basse	basse	adjective	Duolingo
bassi	bassi	adjective	Duolingo
basso	basso	adjective	Duolingo
basta	basta	interjection	Duolingo
basta	basta	verb	Duolingo
battaglia	battaglia	noun	Duolingo
batteria	batteria	noun	Duolingo
bei	bei	adjective	Duolingo
bel	bel	adjective	Duolingo
bell'	bell'	adjective	Duolingo
bella	bella	adjective	Duolingo
belle	belle	adjective	Duolingo
bellezza	bellezza	noun	Duolingo
belli	belli	adjective	Duolingo
bello	bello	adjective	Duolingo
ben	ben	adverb	Duolingo
bene	bene	adverb	Duolingo
benessere	benessere	noun	Duolingo
benissimo	benissimo	adverb	Duolingo
bensì	bensi	conjunction	Duolingo
benzina	benzina	noun	Duolingo
bere	bere	verb	Duolingo
bevanda	bevanda	noun	Duolingo
beve	beve	verb	Duolingo
bevendo	bevendo	verb	Duolingo
bevete	bevete	verb	Duolingo
bevi	bevi	verb	Duolingo
beviamo	beviamo	verb	Duolingo
bevo	bevo	verb	Duolingo
bevono	bevono	verb	Duolingo
bianca	bianca	adjective	Duolingo
bianche	bianche	adjective	Duolingo
bianchi	bianchi	adjective	Duolingo
bianco	bianco	adjective	Duolingo
bianco	bianco	noun	Duolingo
biblioteca	biblioteca	noun	Duolingo
bicchiere	bicchiere	noun	Duolingo
bicchieri	bicchieri	noun	Duolingo
bici	bici	noun	Duolingo
bicicletta	bicicletta	noun	Duolingo
biciclette	biciclette	noun	Duolingo
biglietti	biglietti	noun	Duolingo
biglietto	biglietto	noun	Duolingo
biologia	biologia	noun	Duolingo
bionde	bionde	adjective	Duolingo
biondo	biondo	adjective	Duolingo
birra	birra	noun	Duolingo
biscotti	biscotti	noun	Duolingo
biscotto	biscotto	noun	Duolingo
bisogno	bisogno	noun	Duolingo
bistecca	bistecca	noun	Duolingo
bloccata	bloccata	verb	Duolingo
bloccate	bloccate	verb	Duolingo
bloccato	bloccato	verb	Duolingo
blu	blu	adjective	Duolingo
bocca	bocca	noun	Duolingo
bolle	bolle	verb	Duolingo
bolletta	bolletta	noun	Duolingo
borsa	borsa	noun	Duolingo
borse	borse	noun	Duolingo
boschi	boschi	noun	Duolingo
bosco	bosco	noun	Duolingo
bottiglia	bottiglia	noun	Duolingo
bottiglie	bottiglie	noun	Duolingo
bracci	bracci	noun	Duolingo
braccio	braccio	noun	Duolingo
brasile	brasile	proper noun	Duolingo
brasiliana	brasiliana		Duolingo
brasiliani	brasiliani	adjective	Duolingo
brasiliano	brasiliano		Duolingo
brasiliano	brasiliano	adjective	Duolingo
brava	brava	adjective	Duolingo
bravi	bravi	adjective	Duolingo
bravo	bravo	adjective	Duolingo
bretagna	bretagna	proper noun	Duolingo
breve	breve	adjective	Duolingo
brillante	brillante	adjective	Duolingo
brillanti	brillanti	adjective	Duolingo
brioche	brioche	noun	Duolingo
bruci	bruci	verb	Duolingo
brucia	brucia	verb	Duolingo
bruciare	bruciare	verb	Duolingo
brutta	brutta	adjective	Duolingo
brutte	brutte	adjective	Duolingo
brutti	brutti	adjective	Duolingo
brutto	brutto	adjective	Duolingo
bugia	bugia	noun	Duolingo
bugie	bugie	noun	Duolingo
buia	buia	adjective	Duolingo
buio	buio	adjective	Duolingo
buio	buio	noun	Duolingo
buon	buon	adjective	Duolingo
buona	buona	adjective	Duolingo
buonanotte	buonanotte	interjection	Duolingo
buonasera	buonasera	interjection	Duolingo
buone	buone	adjective	Duolingo
buongiorno	buongiorno	interjection	Duolingo
buoni	buoni	adjective	Duolingo
buono	buono	adjective	Duolingo
burro	burro	noun	Duolingo
busta	busta	noun	Duolingo
c'	c'	adverb	Duolingo
c'è	c'e		Duolingo
cade	cade	verb	Duolingo
cadere	cadere	verb	Duolingo
cadi	cadi	verb	Duolingo
cado	cado	verb	Duolingo
cadono	cadono	verb	Duolingo
caduta	caduta	noun	Duolingo
caffè	caffe	noun	Duolingo
cagna	cagna	noun	Duolingo
cagne	cagne	noun	Duolingo
calabria	calabria	proper noun	Duolingo
calciatore	calciatore	noun	Duolingo
calciatori	calciatori	noun	Duolingo
calciatrice	calciatrice	noun	Duolingo
calcio	calcio	noun	Duolingo
calda	calda	adjective	Duolingo
caldi	caldi	adjective	Duolingo
caldo	caldo	adjective	Duolingo
caldo	caldo	noun	Duolingo
calendario	calendario	noun	Duolingo
calma	calma	adjective	Duolingo
calme	calme	adjective	Duolingo
calza	calza	noun	Duolingo
calze	calze	noun	Duolingo
cambi	cambi	verb	Duolingo
cambia	cambia	verb	Duolingo
cambiando	cambiando	verb	Duolingo
cambiano	cambiano	verb	Duolingo
cambiare	cambiare	verb	Duolingo
cambiarono	cambiarono	verb	Duolingo
cambiasse	cambiasse	verb	Duolingo
cambiassero	cambiassero	verb	Duolingo
cambiassi	cambiassi	verb	Duolingo
cambiava	cambiava	verb	Duolingo
cambierà	cambiera	verb	Duolingo
cambierebbe	cambierebbe	verb	Duolingo
cambieremo	cambieremo	verb	Duolingo
cambieresti	cambieresti	verb	Duolingo
cambierò	cambiero	verb	Duolingo
cambino	cambino	verb	Duolingo
cambio	cambio	noun	Duolingo
cambio	cambio	verb	Duolingo
camera	camera	noun	Duolingo
camere	camere	noun	Duolingo
cameriere	cameriere	noun	Duolingo
camicetta	camicetta	noun	Duolingo
camicette	camicette	noun	Duolingo
camicia	camicia	noun	Duolingo
camicie	camicie	noun	Duolingo
caminetto	caminetto	noun	Duolingo
camion	camion	noun	Duolingo
cammina	cammina	verb	Duolingo
camminando	camminando	verb	Duolingo
camminano	camminano	verb	Duolingo
camminare	camminare	verb	Duolingo
cammini	cammini	verb	Duolingo
camminiamo	camminiamo	verb	Duolingo
cammino	cammino	verb	Duolingo
campagna	campagna	noun	Duolingo
campania	campania	proper noun	Duolingo
campeggi	campeggi	noun	Duolingo
campeggio	campeggio	noun	Duolingo
campi	campi	noun	Duolingo
campionati	campionati	noun	Duolingo
campionato	campionato	noun	Duolingo
campione	campione	noun	Duolingo
campo	campo	noun	Duolingo
canadese	canadese	adjective	Duolingo
canadesi	canadesi	adjective	Duolingo
canale	canale	noun	Duolingo
cancelli	cancelli	noun	Duolingo
cancello	cancello	noun	Duolingo
candidata	candidata	noun	Duolingo
candidati	candidati	noun	Duolingo
candidato	candidato	noun	Duolingo
cane	cane	noun	Duolingo
cani	cani	noun	Duolingo
canta	canta	verb	Duolingo
cantano	cantano	verb	Duolingo
cantante	cantante	noun	Duolingo
cantare	cantare	verb	Duolingo
cantiamo	cantiamo	verb	Duolingo
cantina	cantina	noun	Duolingo
canto	canto	verb	Duolingo
canzone	canzone	noun	Duolingo
canzoni	canzoni	noun	Duolingo
capace	capace	adjective	Duolingo
capaci	capaci	adjective	Duolingo
capacità	capacita	noun	Duolingo
capelli	capelli	noun	Duolingo
capello	capello	noun	Duolingo
capendo	capendo	verb	Duolingo
capi	capi	noun	Duolingo
capii	capii	verb	Duolingo
capimmo	capimmo	verb	Duolingo
capirai	capirai	verb	Duolingo
capiranno	capiranno	verb	Duolingo
capire	capire	verb	Duolingo
capirebbe	capirebbe	verb	Duolingo
capirebbero	capirebbero	verb	Duolingo
capiremo	capiremo	verb	Duolingo
capisca	capisca	verb	Duolingo
capisce	capisce	verb	Duolingo
capisci	capisci	verb	Duolingo
capisco	capisco	verb	Duolingo
capisse	capisse	verb	Duolingo
capissi	capissi	verb	Duolingo
capitano	capitano	noun	Duolingo
capitoli	capitoli	noun	Duolingo
capitolo	capitolo	noun	Duolingo
capiva	capiva	verb	Duolingo
capivo	capivo	verb	Duolingo
capo	capo	noun	Duolingo
capoluogo	capoluogo	noun	Duolingo
cappelli	cappelli	noun	Duolingo
cappello	cappello	noun	Duolingo
cappotti	cappotti	noun	Duolingo
cappotto	cappotto	noun	Duolingo
cappuccini	cappuccini	noun	Duolingo
cappuccino	cappuccino	noun	Duolingo
caramella	caramella	noun	Duolingo
caramelle	caramelle	noun	Duolingo
carattere	carattere	noun	Duolingo
carcere	carcere	noun	Duolingo
cari	cari	adjective	Duolingo
carina	carina	adjective	Duolingo
carino	carino	adjective	Duolingo
carne	carne	noun	Duolingo
caro	caro	adjective	Duolingo
carota	carota	noun	Duolingo
carriera	carriera	noun	Duolingo
carta	carta	noun	Duolingo
carta d'identità	carta d'identita		Duolingo
carta di credito	carta di credito		Duolingo
cartolina	cartolina	noun	Duolingo
cartoline	cartoline	noun	Duolingo
casa	casa	noun	Duolingo
cascata	cascata	noun	Duolingo
case	case	noun	Duolingo
caso	caso	noun	Duolingo
cassetto	cassetto	noun	Duolingo
castelli	castelli	noun	Duolingo
castello	castello	noun	Duolingo
categoria	categoria	noun	Duolingo
categorie	categorie	noun	Duolingo
cattedrale	cattedrale	noun	Duolingo
cattiva	cattiva	adjective	Duolingo
cattivi	cattivi	adjective	Duolingo
cattivo	cattivo	adjective	Duolingo
causa	causa	noun	Duolingo
cause	cause	noun	Duolingo
cavalla	cavalla	noun	Duolingo
cavalle	cavalle	noun	Duolingo
cavalli	cavalli	noun	Duolingo
cavallo	cavallo	noun	Duolingo
caviglia	caviglia	noun	Duolingo
cavolo	cavolo	noun	Duolingo
ce	ce		Duolingo
ce	ce	adverb	Duolingo
ce	ce	pronoun	Duolingo
celebrazione	celebrazione	noun	Duolingo
cena	cena	noun	Duolingo
cena	cena	verb	Duolingo
ceniamo	ceniamo	verb	Duolingo
centimetri	centimetri	noun	Duolingo
centimetro	centimetro	noun	Duolingo
cento	cento	numeral	Duolingo
centocinquanta	centocinquanta	numeral	Duolingo
centodieci	centodieci	numeral	Duolingo
centododici	centododici	numeral	Duolingo
centonove	centonove	numeral	Duolingo
centootto	centootto	numeral	Duolingo
centosessanta	centosessanta	numeral	Duolingo
centosette	centosette	numeral	Duolingo
centotrenta	centotrenta	numeral	Duolingo
centouno	centouno	numeral	Duolingo
centoventi	centoventi	numeral	Duolingo
centoventicinque	centoventicinque	numeral	Duolingo
centro	centro	noun	Duolingo
cerca	cerca	verb	Duolingo
cercando	cercando	verb	Duolingo
cercate	cercate	verb	Duolingo
cerchi	cerchi	verb	Duolingo
certa	certa	determiner	Duolingo
certamente	certamente	adverb	Duolingo
certe	certe	adjective	Duolingo
certe	certe	determiner	Duolingo
certi	certi	adjective	Duolingo
certi	certi	determiner	Duolingo
certo	certo	adverb	Duolingo
cervello	cervello	noun	Duolingo
che	che		Duolingo
che	che	adjective	Duolingo
che	che	conjunction	Duolingo
che	che	pronoun	Duolingo
che cosa	che cosa		Duolingo
chi	chi		Duolingo
chi	chi	pronoun	Duolingo
chiama	chiama	verb	Duolingo
chiamai	chiamai	verb	Duolingo
chiamando	chiamando	verb	Duolingo
chiamare	chiamare	verb	Duolingo
chiamarono	chiamarono	verb	Duolingo
chiamasse	chiamasse	verb	Duolingo
chiamassi	chiamassi	verb	Duolingo
chiamata	chiamata	noun	Duolingo
chiamate	chiamate	verb	Duolingo
chiamava	chiamava	verb	Duolingo
chiamavo	chiamavo	verb	Duolingo
chiamerà	chiamera	verb	Duolingo
chiamerai	chiamerai	verb	Duolingo
chiameranno	chiameranno	verb	Duolingo
chiamerei	chiamerei	verb	Duolingo
chiamereste	chiamereste	verb	Duolingo
chiamerò	chiamero	verb	Duolingo
chiami	chiami	verb	Duolingo
chiamiamoci	chiamiamoci	pronoun	Duolingo
chiamino	chiamino	verb	Duolingo
chiamo	chiamo	verb	Duolingo
chiara	chiara	adjective	Duolingo
chiaramente	chiaramente	adverb	Duolingo
chiaro	chiaro	adjective	Duolingo
chiave	chiave	noun	Duolingo
chiavi	chiavi	noun	Duolingo
chieda	chieda	verb	Duolingo
chiedano	chiedano	verb	Duolingo
chiede	chiede	verb	Duolingo
chiedemmo	chiedemmo	verb	Duolingo
chiedendo	chiedendo	verb	Duolingo
chiederanno	chiederanno	verb	Duolingo
chiedere	chiedere	verb	Duolingo
chiederei	chiederei	verb	Duolingo
chiederemo	chiederemo	verb	Duolingo
chiederò	chiedero	verb	Duolingo
chiedesse	chiedesse	verb	Duolingo
chiedete	chiedete	verb	Duolingo
chiedeva	chiedeva	verb	Duolingo
chiedi	chiedi	verb	Duolingo
chiediamo	chiediamo	verb	Duolingo
chiedo	chiedo	verb	Duolingo
chiesa	chiesa	noun	Duolingo
chiese	chiese	noun	Duolingo
chiese	chiese	verb	Duolingo
chilogrammi	chilogrammi	noun	Duolingo
chilogrammo	chilogrammo	noun	Duolingo
chilometri	chilometri	noun	Duolingo
chilometro	chilometro	noun	Duolingo
chimica	chimica	noun	Duolingo
chissà	chissa	adverb	Duolingo
chitarra	chitarra	noun	Duolingo
chiude	chiude	verb	Duolingo
chiudendo	chiudendo	verb	Duolingo
chiudere	chiudere	verb	Duolingo
chiudete	chiudete	verb	Duolingo
chiudi	chiudi	verb	Duolingo
chiudo	chiudo	verb	Duolingo
chiudono	chiudono	verb	Duolingo
chiunque	chiunque	pronoun	Duolingo
